production_type,name,installed_capacity,unit_type

BIOMASS,PROVENCE 4 BIOMASSE,150,GENERATING_UNIT

FOSSIL_GAS,BLENOD 5,430,GENERATING_UNIT

FOSSIL_GAS,BOUCHAIN 7,585,GENERATING_UNIT

FOSSIL_GAS,COMBIGOLFE CCG,425,GENERATING_UNIT

FOSSIL_GAS,CYCOFOS PL1,428,GENERATING_UNIT

FOSSIL_GAS,Croix-de-Metz,413,PRODUCTION_UNIT

FOSSIL_GAS,DK6-TG1,167,GENERATING_UNIT

FOSSIL_GAS,DK6-TG2,167,GENERATING_UNIT

FOSSIL_GAS,DK6-TV1,231,GENERATING_UNIT

FOSSIL_GAS,DK6-TV2,231,GENERATING_UNIT

FOSSIL_GAS,EMILE HUCHET 7,413,GENERATING_UNIT

FOSSIL_GAS,EMILE HUCHET 8,413,GENERATING_UNIT

FOSSIL_GAS,FR-GA-MORANT1,401,PRODUCTION_UNIT

FOSSIL_GAS,FR_CPCU COGEVITRY,125,PRODUCTION_UNIT

FOSSIL_GAS,FR_CPCU SAINT OUEN,126,PRODUCTION_UNIT

FOSSIL_GAS,FR_CPCUCOGEVI_GP,125,PRODUCTION_UNIT

FOSSIL_GAS,FR_CPCUSO_GP,126,PRODUCTION_UNIT

FOSSIL_GAS,FR_LANDIVISIAUPU,446,PRODUCTION_UNIT

FOSSIL_GAS,GENNEVILLIERS 1,203,GENERATING_UNIT

FOSSIL_GAS,MARTIGUES PONTEAU 5,465,GENERATING_UNIT

FOSSIL_GAS,MARTIGUES PONTEAU 6,465,GENERATING_UNIT

FOSSIL_GAS,Pont-sur-Sambre,412,PRODUCTION_UNIT

FOSSIL_GAS,SPEM CCG,435,GENERATING_UNIT

FOSSIL_GAS,SPEM pointe,45,GENERATING_UNIT

FOSSIL_GAS,Saint_Avold_7,446,PRODUCTION_UNIT

FOSSIL_GAS,Saint_Avold_8,446,PRODUCTION_UNIT

FOSSIL_HARD_COAL,CORDEMAIS 4,580,GENERATING_UNIT

FOSSIL_HARD_COAL,CORDEMAIS 5,580,GENERATING_UNIT

