identifier,start_date,end_date,type,production_type,status,name,installed_capacity,available_capacity,unit_type
EC-EDF-05470-EDF-H-00011457,2019-09-27T17:00:00+02:00,2020-11-30T18:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,ACTIVE,REVIN 1,202,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00057082,2019-10-11T17:00:00+02:00,2020-03-16T07:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,ACTIVE,REVIN,808,480,PRODUCTION_UNIT
EC-EDF-05470-EDF-H-00058970,2019-12-27T13:30:00+01:00,2020-01-03T10:30:00+01:00,FORCED_UNAVAILABILITY,HYDRO_WATER_RESERVOIR,INACTIVE,BATHIE 5,100,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058971,2019-12-27T14:30:00+01:00,2020-01-03T10:30:00+01:00,FORCED_UNAVAILABILITY,HYDRO_WATER_RESERVOIR,INACTIVE,BATHIE 5,100,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058986,2020-01-01T02:49:00+01:00,2020-01-01T03:28:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,MONTEZIC 1,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058988,2020-01-02T07:08:00+01:00,2020-01-02T08:31:00+01:00,FORCED_UNAVAILABILITY,HYDRO_WATER_RESERVOIR,INACTIVE,BROMMAT 7,240,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058992,2020-01-02T12:49:00+01:00,2020-01-02T14:36:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 9,157,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00058996,2020-01-02T16:14:00+01:00,2020-01-02T18:40:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 9,157,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059001,2020-01-03T00:48:00+01:00,2020-01-03T03:10:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 3,152,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059002,2020-01-03T00:52:00+01:00,2020-01-03T01:53:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 10,170,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059005,2020-01-03T07:04:00+01:00,2020-01-03T16:43:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,GRAND MAISON 9,157,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059011,2020-01-03T11:00:00+01:00,2020-01-03T11:30:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,REVIN 2,202,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00010165,2019-10-26T00:00:00+02:00,2021-01-17T15:10:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,PALUEL 2,1330,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00014489,2019-08-03T02:22:00+02:00,2020-02-27T16:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,GRAVELINES 5,910,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00016671,2019-01-10T00:30:00+01:00,2020-12-12T04:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,FLAMANVILLE 2,1330,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00019381,2019-09-07T00:15:00+02:00,2020-01-26T17:36:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,CRUAS 1,915,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00020021,2019-07-27T02:00:00+02:00,2020-01-06T12:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,PENLY 2,1330,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00020023,2019-08-31T02:00:00+02:00,2020-01-06T00:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,BLAYAIS 4,910,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00020632,2019-08-24T00:30:00+02:00,2020-04-02T22:00:00+02:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,CHINON 3,905,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00020652,2018-04-01T00:00:00+02:00,2026-01-01T00:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_OIL,ACTIVE,CORDEMAIS 3,0,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00041696,2019-09-18T02:00:00+02:00,2021-05-03T12:00:00+02:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,FLAMANVILLE 1,1330,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00042963,2019-12-01T02:30:00+01:00,2020-01-26T07:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,CHINON 2,905,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043337,2019-12-13T02:00:00+01:00,2020-02-11T07:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,CORDEMAIS 5,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043602,2019-12-25T00:47:00+01:00,2020-01-01T18:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,ST LAURENT 2,915,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043767,2019-12-30T04:00:00+01:00,2020-01-01T00:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_HARD_COAL,ACTIVE,CORDEMAIS 4,580,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043773,2020-01-03T10:00:00+01:00,2020-01-03T15:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_GAS,ACTIVE,BOUCHAIN 7,585,585,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043777,2020-01-02T07:30:00+01:00,2020-01-02T15:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_OIL,ACTIVE,MONTEREAU 6,185,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043784,2019-12-29T00:00:00+01:00,2020-01-02T00:00:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,DAMPIERRE 4,890,625,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043785,2020-01-02T00:00:00+01:00,2020-01-03T02:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,DAMPIERRE 4,890,575,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043786,2020-01-03T02:30:00+01:00,2020-01-04T05:46:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,INACTIVE,DAMPIERRE 4,890,680,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043812,2019-12-29T17:36:00+01:00,2020-01-01T14:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,BELLEVILLE 2,1310,640,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043847,2020-01-02T02:30:00+01:00,2020-01-02T04:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,GRAVELINES 3,910,595,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043850,2019-12-31T09:15:00+01:00,2020-01-03T05:20:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,INACTIVE,TRICASTIN 1,915,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043857,2020-01-01T03:00:00+01:00,2020-01-01T08:30:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,BOUCHAIN 7,585,0,GENERATING_UNIT
EC-EDF-05470-EDF-T-00043866,2020-01-03T03:30:00+01:00,2020-01-03T04:30:00+01:00,PLANNED_MAINTENANCE,NUCLEAR,ACTIVE,GRAVELINES 2,910,450,GENERATING_UNIT
